Age,Location,Income_Level,Avg_Transaction_Value,Loyalty_Points_Earned,Referral_Count,Cashback_Received,App_Usage_Frequency,Preferred_Payment_Method,Customer_Satisfaction_Score,LTV,Transaction_Value_Range,Spend_Per_Active_Day,Transactions_Per_Active_Day,Spend_Per_Transaction,Inactivity_Ratio,Support_Burden
54,Urban,Low,16736.38402,2114,25,2224.01214,Monthly,Debit Card,1,327954.5672,53691.019649,22952.755228571426,1.3714285714285714,16736.38402083333,1.4928571428571429,184.70576919
67,Suburban,High,14536.73468,2960,20,4026.823518,Monthly,UPI,8,1437052.914,46163.358025,62146.12772925764,4.275109170305677,14536.734678243105,1.0480349344978166,1026.67910994
44,Urban,High,7061.3728,3170,0,1441.011395,Monthly,Debit Card,4,241938.6594,29777.750382000002,31824.54316438356,4.506849315068493,7061.3727993920975,0.2876712328767123,498.36136504
30,Rural,High,16426.87645,4756,35,4365.85558,Weekly,Wallet Balance,1,128459.895,13467.111726000001,3900.6964147157187,0.23745819397993312,16426.876450704225,0.9531772575250836,132.18114341999998
58,Urban,Middle,10800.09266,1992,18,4161.523827,Daily,UPI,5,956951.3736,12964.762009999999,40180.00574152543,3.7203389830508473,10800.092659453303,1.3940677966101696,371.42500734
23,Rural,Middle,6093.162427,3231,5,2597.393358,Daily,UPI,10,467166.6391,19241.216637999998,23154.017220512822,3.8,6093.162426450742,0.47692307692307695,103.4072214
36,Rural,Low,8751.162615,4123,46,3525.279799,Weekly,Wallet Balance,8,846943.3434,8938.011624,94074.99810227273,10.75,8751.162614164905,2.897727272727273,11.39960354
54,Urban,Low,1324.697719,2513,17,4820.140805,Daily,Credit Card,8,20661.52523,4502.8000987,860.3706835051547,0.6494845360824743,1324.697719047619,1.6701030927835052,375.34633759999997
34,Rural,Low,18898.72465,1861,36,2260.2272,Monthly,Credit Card,10,577484.0084,85235.414726,33812.77843373494,1.7891566265060241,18898.724646464645,1.8253012048192772,185.33827518
38,Urban,High,12386.13718,1221,7,2471.024373,Daily,UPI,3,308366.8488,51912.22488,10252.039222972973,0.8277027027027027,12386.137183673469,0.8513513513513513,717.2823525
26,Urban,High,14627.37056,2313,10,3614.018761,Daily,UPI,4,766979.5225,41961.2522,37397.070536945816,2.5566502463054186,14627.370556840076,1.3054187192118227,653.18789016
26,Rural,High,13534.90157,769,4,1932.132803,Monthly,Debit Card,10,542893.5655,58558.903646,28445.007053475936,2.1016042780748663,13534.901575063614,1.0053475935828877,60.433830349999994
39,Rural,High,13358.32219,3562,20,4806.148623,Monthly,UPI,4,1041983.399,14571.056353,37500.453563636365,2.807272727272727,13358.322189119172,0.4072727272727273,97.64595334
68,Suburban,Low,355.0471001,1432,39,202.1788494,Monthly,Debit Card,3,31001.24129,876.8414712,10669.16536,30.05,355.0471001663894,1.5,308.25671295
51,Rural,Middle,10512.17188,1957,42,2016.889479,Weekly,Debit Card,6,199170.9976,24805.275335,25488.416753424655,2.4246575342465753,10512.171881355933,3.73972602739726,987.08880085
55,Suburban,Middle,16435.98747,2304,20,3569.255335,Daily,Credit Card,3,343117.5167,32066.584638000004,9919.945100591716,0.6035502958579881,16435.987470588236,0.9319526627218935,266.64444149999997
39,Rural,High,899.9318397,1359,19,2146.903129,Weekly,UPI,6,67680.14528,760.588446,1610.4043448753462,1.7894736842105263,899.9318397832817,0.46537396121883656,25.2972296
18,Urban,Middle,19123.75202,4953,41,1296.243047,Weekly,Debit Card,5,1154308.749,81166.14623900001,36643.5764516129,1.9161290322580644,19123.75202020202,0.3096774193548387,690.71489175
37,Rural,Middle,8488.952063,1256,8,2067.270788,Monthly,UPI,2,853173.5709,32318.922437000005,103523.80564634145,12.195121951219512,8488.952062999999,1.646341463414634,843.97754226
68,Urban,Middle,5805.010886,72,1,4407.583988,Daily,Debit Card,8,315447.2882,19588.53408,10452.941898648649,1.8006756756756757,5805.010885553471,0.12837837837837837,98.83170541999999
17,Urban,High,10641.10902,1182,48,2735.036263,Weekly,Credit Card,7,982201.5135,13209.950084,27230.478418539326,2.558988764044944,10641.109019758507,0.8089887640449438,336.17312532
39,Urban,Low,16026.27161,482,3,1675.550964,Monthly,Debit Card,7,212562.5012,35342.667945,75976.39877777778,4.7407407407407405,16026.2716171875,2.5555555555555554,127.05218736
59,Suburban,Low,9500.353685,1239,25,3357.614921,Weekly,Credit Card,6,194556.0894,42456.501703,13138.787014184398,1.3829787234042554,9500.353687179488,1.6595744680851063,645.08581384
45,Rural,Middle,12905.66247,2242,11,3059.225305,Daily,Wallet Balance,9,263424.2394,41949.273667,53270.181276595744,4.127659574468085,12905.662474226805,1.425531914893617,685.8249682200001
53,Urban,Low,10003.28861,3383,18,2802.234077,Monthly,Credit Card,4,195225.3934,30193.257293,16433.974151785715,1.6428571428571428,10003.288614130435,0.5,52.37232544
17,Urban,Low,12629.13241,402,18,1955.786354,Weekly,Credit Card,5,318565.6774,57156.157615000004,13274.024276595745,1.0510638297872341,12629.132408906882,1.174468085106383,387.773343
36,Suburban,High,2769.237995,764,18,361.0015381,Daily,Credit Card,9,253901.9762,8346.8977833,16010.230258278145,5.781456953642384,2769.237994272623,1.271523178807947,187.46581392
48,Rural,High,782.8810897,1835,28,3103.657476,Daily,Wallet Balance,3,76185.40228,2371.3535033000003,2167.213683174603,2.768253968253968,782.881089678899,0.38095238095238093,743.1007309600001
27,Rural,Middle,2746.6591,2589,38,2098.943817,Weekly,Credit Card,3,99920.28293,6040.8745536999995,2672.42507027027,0.972972972972973,2746.6591,0.03303303303303303,762.42143471
37,Suburban,Middle,5723.904512,803,44,2143.820441,Daily,UPI,8,104516.562,12345.630131,7268.450173809524,1.2698412698412698,5723.904511875,1.1587301587301588,1098.23817299
59,Suburban,Middle,5074.587688,4201,33,1170.402173,Monthly,UPI,10,379382.6897,17870.474118,511808.4154285714,100.85714285714286,5074.587688385269,2.0,861.929514
40,Rural,High,12307.35524,4217,7,1247.100002,Monthly,Wallet Balance,6,780027.9459,22699.936548,153103.49917999998,12.44,12307.35523954984,0.68,281.29560700999997
64,Suburban,Low,9123.229588,3002,5,3937.306526,Monthly,Wallet Balance,2,850434.0837,27337.173119,23441.631580555557,2.5694444444444446,9123.22958810811,0.5666666666666667,444.01585501
42,Rural,High,785.8515007,2762,31,2396.823977,Monthly,Wallet Balance,3,15612.20792,1512.7485321000001,785.8515007575758,1.0,785.8515007575758,1.303030303030303,789.23028044
57,Rural,High,706.9694673,2819,27,546.489546,Weekly,Debit Card,8,81812.91568,956.1475303000001,1816.2475265193368,2.569060773480663,706.9694673118279,0.425414364640884,39.16923681
43,Urban,Low,1820.854162,3124,10,229.2548245,Weekly,Credit Card,5,58383.06831,4849.5639768,2769.44285748503,1.5209580838323353,1820.8541622047244,1.0179640718562875,162.23242364
31,Urban,Low,7068.092336,3195,27,1123.577336,Daily,Credit Card,2,210555.2245,10254.320949,7937.579884920635,1.123015873015873,7068.092335689046,0.6626984126984127,815.04858768
30,Rural,Middle,133.5971898,309,31,2437.208929,Daily,Wallet Balance,3,6300.978674,564.04278219,30.47844633460076,0.22813688212927757,133.59718976666667,0.7034220532319392,1172.83305456
62,Rural,Low,9884.805436,3827,40,3086.250468,Daily,Wallet Balance,2,128751.5789,17854.413033,5951.0563316326525,0.6020408163265306,9884.80543220339,1.5612244897959184,660.55594092
66,Rural,Low,7219.78659,4652,7,718.3938536,Monthly,UPI,5,320041.7758,22598.34429,16688.359163934427,2.3114754098360657,7219.786588652482,0.6174863387978142,467.83389192
59,Rural,Low,11113.27164,2960,19,2169.295232,Weekly,UPI,5,629633.2553,18000.899504,23405.22359848485,2.106060606060606,11113.271636690648,0.5454545454545454,178.00162551
67,Rural,Low,14419.29631,2256,23,362.7609139,Weekly,Credit Card,9,1454676.391,25012.544793,49966.86708333334,3.4652777777777777,14419.29631262525,1.1041666666666667,820.0585597700001
