Income_Level,App_Usage_Frequency,Location_Suburban,Location_Urban,Preferred_Payment_Method_Debit Card,Preferred_Payment_Method_UPI,Preferred_Payment_Method_Wallet Balance,Age,Avg_Transaction_Value,Loyalty_Points_Earned,Referral_Count,Cashback_Received,Customer_Satisfaction_Score,LTV,Transaction_Value_Range,Spend_Per_Active_Day,Transactions_Per_Active_Day,Spend_Per_Transaction,Inactivity_Ratio,Support_Burden
0.0,0.0,0.0,1.0,1.0,0.0,0.0,54.0,16736.38402,2114.0,25.0,2224.01214,1.0,327954.5672,53691.019649,22952.755228571423,1.3714285714285714,16736.38402083333,1.4928571428571429,184.70576919
2.0,0.0,1.0,0.0,0.0,1.0,0.0,67.0,14536.73468,2960.0,20.0,4026.823518,8.0,1437052.914,46163.358025,62146.12772925764,4.275109170305677,14536.734678243103,1.0480349344978166,1026.67910994
2.0,0.0,0.0,1.0,1.0,0.0,0.0,44.0,7061.3728,3170.0,0.0,1441.011395,4.0,241938.6594,29777.750382,31824.54316438356,4.506849315068493,7061.3727993920975,0.2876712328767123,498.36136504
2.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,16426.87645,4756.0,35.0,4365.85558,1.0,128459.895,13467.111726,3900.696414715719,0.2374581939799331,16426.876450704225,0.9531772575250836,132.18114341999998
1.0,2.0,0.0,1.0,0.0,1.0,0.0,58.0,10800.09266,1992.0,18.0,4161.523827,5.0,956951.3736,12964.76201,40180.00574152543,3.7203389830508473,10800.092659453305,1.3940677966101696,371.42500734
1.0,2.0,0.0,0.0,0.0,1.0,0.0,23.0,6093.162427,3231.0,5.0,2597.393358,10.0,467166.6391,19241.216638,23154.017220512826,3.8,6093.162426450742,0.4769230769230769,103.4072214
0.0,1.0,0.0,0.0,0.0,0.0,1.0,36.0,8751.162615,4123.0,46.0,3525.279799,8.0,846943.3434,8938.011624,94074.99810227272,10.75,8751.162614164905,2.897727272727273,11.39960354
0.0,2.0,0.0,1.0,0.0,0.0,0.0,54.0,1324.697719,2513.0,17.0,4820.140805,8.0,20661.52523,4502.8000987,860.3706835051547,0.6494845360824743,1324.697719047619,1.6701030927835052,375.3463376
0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,18898.72465,1861.0,36.0,2260.2272,10.0,577484.0084,85235.414726,33812.77843373494,1.789156626506024,18898.724646464645,1.8253012048192767,185.33827518
2.0,2.0,0.0,1.0,0.0,1.0,0.0,38.0,12386.13718,1221.0,7.0,2471.024373,3.0,308366.8488,51912.22488,10252.039222972971,0.8277027027027027,12386.137183673469,0.8513513513513513,717.2823525
2.0,2.0,0.0,1.0,0.0,1.0,0.0,26.0,14627.37056,2313.0,10.0,3614.018761,4.0,766979.5225,41961.2522,37397.070536945816,2.5566502463054186,14627.370556840076,1.3054187192118227,653.18789016
2.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,13534.90157,769.0,4.0,1932.132803,10.0,542893.5655,58558.903646,28445.007053475936,2.1016042780748663,13534.901575063614,1.0053475935828875,60.43383035
2.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,13358.32219,3562.0,20.0,4806.148623,4.0,1041983.399,14571.056353,37500.453563636365,2.807272727272727,13358.322189119172,0.4072727272727273,97.64595334
0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,355.0471001,1432.0,39.0,202.1788494,3.0,31001.24129,876.8414712,10669.16536,30.05,355.0471001663894,1.5,308.25671295
1.0,1.0,0.0,0.0,1.0,0.0,0.0,51.0,10512.17188,1957.0,42.0,2016.889479,6.0,199170.9976,24805.275335,25488.41675342465,2.4246575342465757,10512.171881355933,3.73972602739726,987.08880085
1.0,2.0,1.0,0.0,0.0,0.0,0.0,55.0,16435.98747,2304.0,20.0,3569.255335,3.0,343117.5167,32066.584638000004,9919.945100591716,0.6035502958579881,16435.987470588236,0.9319526627218936,266.6444415
2.0,1.0,0.0,0.0,0.0,1.0,0.0,39.0,899.9318397,1359.0,19.0,2146.903129,6.0,67680.14528,760.588446,1610.4043448753462,1.7894736842105263,899.9318397832817,0.4653739612188365,25.2972296
1.0,1.0,0.0,1.0,1.0,0.0,0.0,18.0,19123.75202,4953.0,41.0,1296.243047,5.0,1154308.749,81166.14623900001,36643.5764516129,1.9161290322580644,19123.75202020202,0.3096774193548387,690.71489175
1.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,8488.952063,1256.0,8.0,2067.270788,2.0,853173.5709,32318.922437000005,103523.80564634144,12.195121951219512,8488.952062999999,1.646341463414634,843.97754226
1.0,2.0,0.0,1.0,1.0,0.0,0.0,68.0,5805.010886,72.0,1.0,4407.583988,8.0,315447.2882,19588.53408,10452.941898648647,1.8006756756756757,5805.010885553471,0.1283783783783783,98.83170542
2.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,10641.10902,1182.0,48.0,2735.036263,7.0,982201.5135,13209.950084,27230.47841853933,2.558988764044944,10641.109019758507,0.8089887640449438,336.17312532
0.0,0.0,0.0,1.0,1.0,0.0,0.0,39.0,16026.27161,482.0,3.0,1675.550964,7.0,212562.5012,35342.667945,75976.39877777778,4.7407407407407405,16026.2716171875,2.555555555555556,127.05218736
0.0,1.0,1.0,0.0,0.0,0.0,0.0,59.0,9500.353685,1239.0,25.0,3357.614921,6.0,194556.0894,42456.501703,13138.787014184398,1.3829787234042554,9500.353687179488,1.6595744680851063,645.08581384
1.0,2.0,0.0,0.0,0.0,0.0,1.0,45.0,12905.66247,2242.0,11.0,3059.225305,9.0,263424.2394,41949.273667,53270.181276595744,4.127659574468085,12905.662474226803,1.425531914893617,685.8249682200001
0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,10003.28861,3383.0,18.0,2802.234077,4.0,195225.3934,30193.257293,16433.974151785715,1.6428571428571428,10003.288614130435,0.5,52.37232544
0.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,12629.13241,402.0,18.0,1955.786354,5.0,318565.6774,57156.157615,13274.024276595745,1.051063829787234,12629.132408906882,1.174468085106383,387.773343
2.0,2.0,1.0,0.0,0.0,0.0,0.0,36.0,2769.237995,764.0,18.0,361.0015381,9.0,253901.9762,8346.8977833,16010.230258278145,5.781456953642384,2769.237994272623,1.271523178807947,187.46581392
2.0,2.0,0.0,0.0,0.0,0.0,1.0,48.0,782.8810897,1835.0,28.0,3103.657476,3.0,76185.40228,2371.3535033000003,2167.213683174603,2.768253968253968,782.881089678899,0.3809523809523809,743.1007309600001
1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,2746.6591,2589.0,38.0,2098.943817,3.0,99920.28293,6040.8745537,2672.42507027027,0.972972972972973,2746.6591,0.033033033033033,762.42143471
1.0,2.0,1.0,0.0,0.0,1.0,0.0,37.0,5723.904512,803.0,44.0,2143.820441,8.0,104516.562,12345.630131,7268.450173809524,1.2698412698412698,5723.904511875,1.1587301587301588,1098.23817299
1.0,0.0,1.0,0.0,0.0,1.0,0.0,59.0,5074.587688,4201.0,33.0,1170.402173,10.0,379382.6897,17870.474118,511808.4154285714,100.85714285714286,5074.587688385269,2.0,861.929514
2.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,12307.35524,4217.0,7.0,1247.100002,6.0,780027.9459,22699.936548,153103.49917999998,12.44,12307.35523954984,0.68,281.29560701
0.0,0.0,1.0,0.0,0.0,0.0,1.0,64.0,9123.229588,3002.0,5.0,3937.306526,2.0,850434.0837,27337.173119,23441.63158055556,2.5694444444444446,9123.22958810811,0.5666666666666667,444.01585501
2.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,785.8515007,2762.0,31.0,2396.823977,3.0,15612.20792,1512.7485321,785.8515007575758,1.0,785.8515007575758,1.303030303030303,789.23028044
2.0,1.0,0.0,0.0,1.0,0.0,0.0,57.0,706.9694673,2819.0,27.0,546.489546,8.0,81812.91568,956.1475303,1816.2475265193368,2.569060773480663,706.9694673118279,0.425414364640884,39.16923681
0.0,1.0,0.0,1.0,0.0,0.0,0.0,43.0,1820.854162,3124.0,10.0,229.2548245,5.0,58383.06831,4849.5639768,2769.44285748503,1.520958083832335,1820.8541622047244,1.0179640718562877,162.23242364
0.0,2.0,0.0,1.0,0.0,0.0,0.0,31.0,7068.092336,3195.0,27.0,1123.577336,2.0,210555.2245,10254.320949,7937.579884920635,1.123015873015873,7068.092335689046,0.6626984126984127,815.04858768
1.0,2.0,0.0,0.0,0.0,0.0,1.0,30.0,133.5971898,309.0,31.0,2437.208929,3.0,6300.978674,564.04278219,30.47844633460076,0.2281368821292775,133.59718976666667,0.7034220532319392,1172.83305456
0.0,2.0,0.0,0.0,0.0,0.0,1.0,62.0,9884.805436,3827.0,40.0,3086.250468,2.0,128751.5789,17854.413033,5951.0563316326525,0.6020408163265306,9884.80543220339,1.5612244897959184,660.55594092
0.0,0.0,0.0,0.0,0.0,1.0,0.0,66.0,7219.78659,4652.0,7.0,718.3938536,5.0,320041.7758,22598.34429,16688.359163934427,2.3114754098360657,7219.786588652482,0.6174863387978142,467.83389192
0.0,1.0,0.0,0.0,0.0,1.0,0.0,59.0,11113.27164,2960.0,19.0,2169.295232,5.0,629633.2553,18000.899504,23405.22359848485,2.106060606060606,11113.271636690648,0.5454545454545454,178.00162551
0.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,14419.29631,2256.0,23.0,362.7609139,9.0,1454676.391,25012.544793,49966.86708333334,3.4652777777777777,14419.29631262525,1.1041666666666667,820.0585597700001
1.0,2.0,0.0,0.0,0.0,1.0,0.0,18.0,5026.946581,434.0,26.0,188.6294401,6.0,372319.2285,11384.3485359,13198.019752727272,2.625454545454545,5026.946581717451,1.2872727272727271,139.73088524
1.0,1.0,1.0,0.0,0.0,1.0,0.0,52.0,3150.102116,3123.0,46.0,4316.739697,2.0,22027.99777,14093.1995539,961.0481033898304,0.3050847457627119,3150.102116666667,1.7881355932203389,19.57207109
0.0,1.0,0.0,0.0,0.0,0.0,0.0,66.0,5568.290584,849.0,10.0,3291.671098,1.0,297728.3944,12147.614754,9446.524920127797,1.6964856230031948,5568.290583804142,0.610223642172524,509.84799176
